question	valid	schema	type	entity	abs	relation	limit	list	is_or_not
74岁老人，身体建康，乘机需要开证明吗		其他	有实体但cqa	乘机					
我身份证丢了，在昆明长水机场现在去能办临时登机身份证吗？		设施类	有实体但cqa		办临时登机身份证				
柬埔寨落地签，从昆明长水机场目前可以出境不？		海关过境	有实体但cqa	出境					
拿外国护照直飞昆明长水机场可办理中国签证吗		海关过境	有实体但cqa		办理中国签证				
昆明长水特区五日签证可从昆明长水机场出关吗?		海关过境	有实体但cqa		出关				
关于办理无人陪伴儿童登机手续		登机过检	有实体但cqa		登机				
个人签证的如何从昆明长水机场过关到香港。		海关过境	有实体但cqa		过关				
昆明长水机场有老人无人陪护送上飞机吗？		设施类	有实体但cqa		老人无人陪护				
昆明长水机场怎么登机？		登机过检	有实体但cqa	登机					
昆明长水t1航站楼到达口和出发口离得远吗		设施类	有实体但cqa						
怎么查昆明长水机场举报电话	1	设施类	实体属性问询	昆明长水机场		举报电话			
在昆明长水机场能办理临时乘机证明吗？办理窗口是在什么地方。	1	设施类	复杂						
有老人独自出境机场工作人员可提供帮助吗?	1	设施类	实体查询		老人独自出境				1
昆明长水机场可以寄存行李吗	1	行李	实体查询		寄存行李				1
机场有设置军人优先通道吗？	1	登机过检	实体查询		军人优先通道				1
昆明长水机场A航站楼有坐摆渡车上飞机的登机口吗？	1	设施类	实体查询	登机口					1
请问昆明长水飞机场接机有多少个出口？	1	设施类	列举	昆明长水飞机场		出口		有多少个	
昆明长水机场有几个接机口	1	设施类	列举	接机口				有几个	
机场有行李寄存处吗	1	行李	实体查询	行李寄存					
印尼护照可以在昆明长水机场落地签证		海关过境	有实体但cqa		落地签证				
民生银行信用卡机场贵宾厅怎么预约		贵宾服务	有实体但cqa	贵宾厅					
昆明长水机场第一航站楼有哪些航空公司	1	设施类	列举			航空公司	第一航站楼	有哪些	
昆明长水机场T1的海南航空贵宾休息室 是只有海航vip可以进 还是头等舱机票就能进？？		贵宾服务	有实体但cqa	海南航空贵宾休息室					
昆明长水机场T1的海南航空休息室 是只有海航vip可以进 还是头等舱机票就能进？？		设施类	有实体但cqa	海南航空休息室					
昆明长水机场有没有深航vip休息室 ？	1	设施类	实体查询	深航vip休息室					
昆明长水机场t1c区贵宾通道怎么走		贵宾服务	实体查询	贵宾通道					
谁知道昆明长水机场警务室电话号码多少	1	设施类	实体属性问询	警务室		电话号码			
有几个机场候机楼	1	设施类	列举	机场候机楼				有几个	
T1候机楼的值机柜台分布	1	设施类	列举	值机柜台			T1候机楼	有几个	
机场的航班信息展板的位置	1	设施类	实体属性问询	航班信息展板		位置			
机场开具机票发票的地点	1	设施类	实体查询		开具机票发票	地点			
哪里可以接机呢	1	设施类	实体查询	接机		哪里			
飞机延误的补偿手段	1	其他	其他	飞机延误		补偿手段			
物品申报的地点在哪	1	设施类	实体查询		物品申报	地点			
物品申报收费吗	1	行李安检	实体属性问询		物品申报	收费			
机场的临时身份证明开具方法		设施类	有实体但cqa		临时身份证明开具				
机场售票处的位置	1	设施类	实体属性问询	机场售票处		位置			
如何在昆明长水机场转机		柜台	有实体但cqa	转机					
旅客在等候转机期间，可以到哪里休息片刻	1	设施类	实体查询		到哪里休息片刻				
转机航班离开了怎么办		柜台	有实体但cqa	转机					
转机需要最短中转时间是多少	1	柜台	有实体但cqa	转机		中转时间	最短		
在昆明长水国际机场转机需要申请转机签证么		柜台	有实体但cqa	转机					
在昆明长水国际机场转机时，是否须要先认领行李，然后再办理行李托运手续		柜台	有实体但cqa	转机					
转机时，可以携带液态物品吗	1	行李	实体查询	携带物品			液态\转机时		
转机时是否可以离开机场		柜台	有实体但cqa	转机					
转机需要重新打印登机牌吗		柜台	有实体但cqa	转机					
转机遇到误机怎么办		柜台	有实体但cqa	转机					
转机需要重新安检吗		柜台	有实体但cqa	转机					
机场有没有为过境旅客办理旅游团		设施类	实体查询	转机					
中国内地有什么入境规例	1	海关过境	有实体但cqa	入境		规例	中国内地		
办理签证需要准备的资料	1	海关过境	有实体但cqa	办理签证		准备的资料			
进入离境大厅的一些设施是否需要安检		海关过境	有实体但cqa	离境		安检			
可以从携带动物或植物出/入境吗	1	行李安检	实体查询	出/入境		携带动物或植物			
出/入境有哪些需要注意的	1	海关过境	有实体但cqa	出/入境		注意的		哪些	
如何乘坐国际航班		其他	有实体但cqa						
乘机回国哪些东西不能带	1	行李安检	列举	东西			不能带	哪些	
出国旅游怎样携带外汇最合算		金融类	有实体但cqa	外汇					
如何填写出入境申报书		海关过境	有实体但cqa	入境		申报书			
行李中哪些液体不可以带	1	行李安检	列举	行李			不可以带	哪些	
昆明长水机场的行李寄存处的寄存要求	1	行李	有实体但cqa	行李寄存处		寄存要求			
充电宝的携带限制是多少	1	行李安检	实体属性问询	充电宝		携带限制			
化妆品是托运范围内的物品吗	1	行李	实体查询	化妆品			托运范围内的物品		
机场行李提取处位置	1	设施类	实体属性问询	行李提取处		位置			
物品托运的最大重量	1	行李	实体属性问询	物品托运		最大重量			
水泥是剧毒物品吗	1	行李安检	实体查询	水泥			剧毒物品		1
机场的安检地址在哪	1	登机过检	实体属性问询	安检		地址在哪			
我身份证丢了，在昆明长水机场现在去能办临时登机身份证吗？		设施类	有实体但cqa	办临时登机身份证					
柬埔寨落地签，从昆明长水机场目前可以出境不？		海关过境	有实体但cqa	出境			柬埔寨落地签		
拿外国护照直飞昆明长水机场可办理中国签证吗		海关过境	有实体但cqa		办理中国签证				
昆明长水特区五日签证可从昆明长水机场出关吗?		海关过境	有实体但cqa	出关					
关于办理无人陪伴儿童登机手续		登机过检	有实体但cqa	登机			无人陪伴儿童		
个人签证的如何从昆明长水机场过关到香港。		海关过境	有实体但cqa	过关			个人签证		
昆明长水机场有老人无人陪护送上飞机吗？		设施类	有实体但cqa		上飞机		老人无人陪		
昆明长水机场怎么登机？		登机过检	有实体但cqa	登机					
昆明长水t1航站楼到达口和出发口离得远吗		其他	复杂						
怎么查昆明长水机场举报电话	1	设施类	实体属性问询	昆明长水机场		举报电话			
昆明长水机场办临时身份证是24小时的吗	1	设施类	实体属性问询		办临时身份证	是24小时的吗			
重庆建行机场贵宾厅持家人的卡可以进去吗？		贵宾服务	有实体但cqa	机场贵宾厅			重庆建行		
境外人员办理驾照-境外人员临时住宿登记表/境外人员住宿登记信息 请问此二项区别?		其他	其他						
沈阳桃仙机场可以寄存衣物吗？		行李	实体查询	寄存			衣物		
到昆明长水机场T3航站楼怎样登上飞机？		登机过检	有实体但cqa	登上飞机			T3航站楼		
北京机场行李搬运		其他	其他						
昆明长水机场行李打包的问题		行李	实体查询	行李打包					
到昆明长水机场后怎么取行李		行李	实体查询		取行李				
在昆明长水机场能办理临时乘机证明吗？办理窗口是在什么地方。	1	设施类	复杂						
有老人独自出境机场工作人员可提供帮助吗?		设施类	实体查询	出境			老人独自		
昆明长水机场可以寄存行李吗	1	行李	实体查询	寄存行李					
机场有设置军人优先通道吗？	1	登机过检	实体查询	军人优先通道			A航站楼		
昆明长水机场A航站楼有坐摆渡车上飞机的登机口吗？		设施类	实体查询	昆明长水机场		登机口			
请问昆明长水飞机场接机有多少个出口？	1	设施类	列举	昆明长水飞机场		出口		有多少个	
昆明长水机场有几个接机口	1	设施类	列举	昆明长水机场		接机口			
机场有行李寄存处吗	1	行李	实体查询	行李寄存处					
印尼护照可以在昆明长水机场落地签证		海关过境	有实体但cqa		落地签证		印尼护照		
民生银行信用卡机场贵宾厅怎么预约		贵宾服务	有实体但cqa	机场贵宾厅			民生银行		
昆明长水机场第一航站楼有哪些航空公司	1	航空公司	列举	航空公司			第一航站楼	哪些	
昆明长水机场T1的海南航空贵宾休息室 是只有海航vip可以进 还是头等舱机票就能进？？		贵宾服务	有实体但cqa	海南航空贵宾休息室					
昆明长水机场T1的海南航空休息室 是只有海航vip可以进 还是头等舱机票就能进？？		设施类	有实体但cqa	海南航空休息室					
昆明长水机场有没有深航vip休息室 ？	1	贵宾服务	实体查询	深航vip休息室 					
昆明长水机场t1c区贵宾通道怎么走		贵宾服务	有实体但cqa	贵宾通道			t1c		
谁知道昆明长水机场警务室电话号码多少	1	设施类	实体属性问询	昆明长水机场警务室		电话号码			
昆明长水国际机场有哪几个航站楼	1	设施类	列举	航站楼				哪几个	
昆明长水机场t2里面有吸烟的地方吗	1	设施类	实体查询		吸烟的地方				
昆明长水机场停车场能抽烟不		设施类	有实体但cqa	停车场					
昆明长水机场可以存放行李么		行李	实体查询		存放行李				
长水机场有直接签证去缅甸的吗?		海关过境	有实体但cqa		签证		去缅甸		
坐飞机到达昆明长水国际机场，在机场里有没有免费休息的场所？	1	设施类	实体查询		休息的场所		免费		
昆明长水国际机场在哪里具体位置？	1	设施类	实体属性问询	昆明长水国际机场		在哪里			
哪位大神知道昆明长水t2航站楼的警务室在哪？	1	设施类	实体属性问询	警务室		在哪	t2航站楼		
晚上十一点半，从昆明长水国际机场到机场急救中心怎么能走？		设施类	有实体但cqa	机场急救中心					
昆明长水机场问讯处电话？	1	设施类	实体属性问询	问讯处		电话			
民生银行在昆明长水机场有贵宾厅吗?	1	贵宾服务	实体查询	贵宾厅			民生银行		1
民生银行昆明长水机场贵宾厅需要预约吗?		贵宾服务	实体查询	贵宾厅			民生银行		
昆明长水机场中咖啡厅不可坐吗		餐饮类	实体查询	咖啡厅					
昆明长水机场 国航贵宾休息室在哪里怎么才能进去？		贵宾服务	实体属性问询	国航贵宾休息室		在哪里			
机场边上有客运中心吗？	1	设施类	实体查询	客运中心					1
昆明长水国际机场到英国签证申请中心怎么走		海关过境	有实体但cqa	英国签证申请中心					
昆明长水地铁三号线机场北站有洗手间和母婴室吗	1	设施类	复杂						1
昆明长水共有几个机场贵宾厅，分别在何位置？	1	贵宾服务	复杂						
招行金葵花卡 重庆机场贵宾		其他	其他						
顺丰合肥驻昆明长水集散中心是在昆明长水机场吗	1	设施类	实体查询	顺丰合肥驻昆明长水集散中心					1
昆明长水国际机场3号航站楼的相关报道		其他	其他						
昆明长水机场晚上可以办临时身份证么		设施类	实体属性问询		办临时身份证		晚上		
机场买的那个航空意外保险保不保劫机？		设施类	实体属性问询		航空意外保险				
关于昆明长水机场托运打包费用	1	行李	实体属性问询	托运		打包费用			
昆明长水机场办理临时身份证24小时都可以办理吗？		设施类	实体属性问询		办理临时身份证		24小时		1
昆明长水机场可以办理临时身份证吗		设施类	实体查询		办理临时身份证				
昆明长水机场入境的时候先取行李还是先取寄存的东西？		海关过境	有实体但cqa		入境				
国际航空意外险是怎么赔付的		设施类	实体属性问询		航空意外险	赔付			
昆明长水机场T1航站楼B区到达14号行李转盘在几号门		设施类	复杂						
昆明长水机场有哪些安检规定	1	行李安检	列举	安检		规定		有哪些	
昆明长水机场贵宾休息室可以打印机票吗?		贵宾服务	有实体但cqa	贵宾休息室					
昆明长水机场坐飞机哪些东西能带？	1	行李安检	列举		东西		能	哪些	
昆明长水机场坐飞机哪些东西不能带？	1	行李安检	列举		东西		不能	哪些	
昆明长水机场一般登机箱最大尺寸和重量多少可以托运？	1	行李	实体属性问询	托运		尺寸和重量			
在飞机上能否换衣服		其他	其他						
关于昆明长水机场托运行李的问题		行李	实体查询	托运行李					
昆明长水航空在昆明长水机场的提货处在哪里呢？	1	设施类	实体查询	提货处					
沈阳桃仙机场寄存衣物怎么收费？	1	行李	实体属性问询		寄存衣物	收费			
昆明长水机场T3航站楼如何从贵宾室登机		贵宾服务	有实体但cqa	贵宾室					
昆明长水机场需要检查签证吗？（出境）		海关过境	有实体但cqa	签证					
附近哪有喝咖啡的地方	1	餐饮类	实体查询		喝咖啡的地方				
附近最近的吃饭的地方在哪	1	餐饮类	实体查询		吃饭的地方				
机场上网的密码是多少	1	设施类	实体属性问询	上网		密码			
机场的急救医疗服务的位置	1	设施类	实体属性问询		急救医疗服务	位置			
机场有按摩椅吗	1	设施类	实体查询	按摩椅					
机场有几个快递点	1	设施类	列举	快递点				有几个	
快递的联系电话是什么	1	设施类	实体属性问询	快递		联系电话			
失物招领处的位置	1	设施类	实体属性问询	失物招领处		位置			
机场的酒店都提供什么服务呢	1	住宿类	实体属性问询	酒店		服务			
机场的书店的联系电话	1	设施类	实体属性问询	书店		联系电话			
昆明长水机场的充电站的服务价格是多少	1	设施类	实体属性问询	充电站		价格			
机场的电梯的位置在哪	1	设施类	实体属性问询	电梯		位置在哪			
机场的上网密码是多少	1	设施类	实体属性问询	上网		密码			
卫生间的地点分布	1	设施类	实体属性问询	卫生间		地点			
机场手推车的归还地点	1	设施类	实体属性问询	手推车		归还地点			
机场的值机柜台分布	1	柜台	实体属性问询	值机柜台		分布			
机场VIP贵宾厅的服务项目有什么	1	贵宾服务	实体属性问询	VIP贵宾厅		服务项目			
机场的问讯中心位置在哪	1	柜台	实体属性问询	问讯中心		位置在哪			
昆明长水机场的紧急联系电话是什么	1	设施类	实体属性问询	昆明长水机场		紧急联系电话			
出租车的搭乘地点	1	出行类	实体属性问询	出租车		搭乘地点			
全家便利店的地址	1	购物类	实体属性问询	全家便利店		地址			
机场的免税店的经营范围是什么	1	购物类	实体属性问询	免税店		经营范围			
星巴克的服务时间	1	餐饮类	实体属性问询	星巴克		服务时间			
附近最近的吃饭的地方在哪	1	餐饮类	实体属性问询	吃饭的地方		在哪	最近		
昆明长水机场有联通机场贵宾厅候机服务，只要是联通VIP客户就能享有呢？		贵宾服务	有实体但cqa	联通机场贵宾厅		候机服务			
在机场日上买了东西可以寄存从外面回来了再拿吗？		购物类	有实体但cqa	寄存					
机场T2航站楼到T3航站楼，都有哪些走法？		其他	其他						
机场贵宾休息室可以接机吗？		贵宾服务	有实体但cqa	贵宾休息室		接机			
昆明长水机场里面的wifi怎么用		设施类	有实体但cqa	wifi					
昆明长水机场的咖啡店怎么样？		餐饮类	有实体但cqa	咖啡店					
昆明长水机场工商银行贵宾休息室用理财金卡或者工行信用卡金卡能进去嘛？		贵宾服务	有实体但cqa	工商银行贵宾休息室					
昆明长水机场T1航站楼里面可以过夜吗？		住宿类	有实体但cqa		过夜		T1航站楼		
昆明长水机场的日上免税店，买的东西存着回来再提货，可以退货吗		购物类	有实体但cqa	日上免税店		退货			
昆明长水机场T3航站楼，确定可以过夜吗？		住宿类	有实体但cqa		过夜		T3航站楼		
昆明长水机场的免税店买了东西之后能否直接带走??		购物类	有实体但cqa	免税店					
请问昆明长水机场头等舱能否携带一名经济舱同伴到贵宾室休息？		贵宾服务	有实体但cqa	贵宾室					
机场wifi怎么不自动跳转首页了		设施类	有实体但cqa	wifi					
机场VIP通道的含义？	1	贵宾服务	实体属性问询	VIP通道		含义			
怎样在机场租WiFi		设施类	有实体但cqa	WiFi					
坐飞机租用轮椅流程		设施类	有实体但cqa		租用轮椅		流程		
机场的服务内容	1	center	有实体但cqa	机场		服务内容			
机场附近租房问题		住宿类	实体查询	租房					
麦当劳 昆明长水机场店怎么样		餐饮类	有实体但cqa	麦当劳					
从昆明长水机场寄东西到新都区用什么快递最快		设施类	有实体但cqa	快递					
在昆明长水机场内怎么寄快递？		设施类	有实体但cqa	快递					
昆明长水国际机场自助餐厅饭菜怎么样?		餐饮类	有实体但cqa	自助餐厅					
昆明长水机场的wifi怎样加入		设施类	有实体但cqa	wifi					
昆明长水机场快递地址怎么写？	1	设施类	有实体但cqa	昆明长水机场		地址			
机场要客服务待遇如何		其他	其他						
机场提供吸氧吗？		设施类	有实体但cqa		吸氧				
机场T3a与T3b相距多远？		其他	其他						
我买的过两天川航的A仓机票，昆明长水机场的，可以去贵宾室么		贵宾服务	有实体但cqa	贵宾室					
机场T3国航公务舱休息室和头等舱休息室有什么区别		其他	其他						
昆明长水机场过夜，我航班需要在昆明长水机场中转，而且有行李需要托运，不想出机场，请问怎么处理？		其他	其他						
机场轮椅服务	1	设施类	实体查询	轮椅					
满足什么条件才能使用机场VIP通道		贵宾服务	有实体但cqa	VIP通道					
昆明长水机场wifi没登录		设施类	有实体但cqa	wifi					
昆明长水机场的免费无线网络怎么用？		设施类	有实体但cqa	无线网络			免费		
机场的免费wifi怎么使用？		设施类	有实体但cqa	wifi			免费		
昆明长水国际机场股份有限公司航空物流服务分公司怎么样？		其他	其他						
昆明长水机场银联贵宾停车场怎么弄的?		贵宾服务	有实体但cqa	银联贵宾停车场					
国际机票轮椅服务是如何操作的		设施类	有实体但cqa	轮椅					
机场充电柱直接连接使用吗？		设施类	有实体但cqa	充电柱					
去昆明长水机场“t3航站楼”登机把汽车停在几号停车场比较近？		设施类	有实体但cqa	停车场					
昆明长水机场专属停车区要如何预约？		设施类	有实体但cqa	停车区					
机场免税店和市内免税店的区别？		购物类	有实体但cqa	免税店					
真功夫 机场店怎么样		餐饮类	有实体但cqa	真功夫					
机场有没有类似小红帽的服务帮忙拿行李箱和送老年人登机		设施类	实体查询	登机			老年人		
机场附近有没有24小时营业，能免费上网，还能提供电源的地方	1	设施类	复杂						
昆明长水的机场有贵宾厅吗？	1	贵宾服务	实体查询	贵宾厅					1
昆明长水机场2号航站楼安检后有没有吃东西的地方？	1	餐饮类	实体查询		吃东西的地方		2号航站楼		
如何免费在充电桩充电		设施类	实体查询	充电桩			免费		
顺丰速运昆明长水机场有次日达业务吗?	1	其他	实体查询	顺丰速运					
昆明长水机场里面有什么餐厅?	1	餐饮类	列举	餐厅				有什么	
昆明长水机场的无线网络怎么用？		设施类	有实体但cqa	无线网络					
昆明长水机场t1航站楼计时休息室多少钱一小时	1	设施类	实体属性问询	计时休息室		多少钱			
昆明长水机场航站楼的特色服务	1	设施类	有实体但cqa	航站楼		特色服务			
昆明长水机场里面有宾馆吗？	1	住宿类	实体查询	宾馆					
昆明长水机场里面宾馆贵吗？		住宿类	实体属性问询	宾馆		贵吗			
请问昆明长水机场 行李寄存的费用是多少，怎么计算的？我的是158的行李箱~~	1	行李	实体属性问询	行李寄存		费用			
昆明长水机场2号航站楼国内出发的所有餐厅，吃午饭~	1	餐饮类	列举	餐厅			2号航站楼		
昆明长水机场 有免费开水吗	1	餐饮类	实体查询	免费开水					
请问到了昆明长水机场怎样找旅馆？		住宿类	实体查询	旅馆					
昆明长水机场先在还有YSL和阿玛尼吗？	1	购物类	实体查询	YSL和阿玛尼					
昆明长水机场里面有快递吗	1	设施类	实体查询	快递					
因为要提前一个晚上去机场，想问问昆明长水机场晚上有充电的地方吗？	1	设施类	实体查询		充电的地方				
最近要去日本，听朋友说在昆明长水机场可以租赁日本wifi和手机，有没有用过的？		设施类	实体查询		租赁日本wifi和手机				
什么快递可以寄到机场	1	设施类	列举	快递					
昆明长水机场将母婴室安排在男厕里是真的吗？		设施类	有实体但cqa	母婴室					
昆明长水机场几号门可以连wifi		设施类	有实体但cqa	wifi					
昆明长水机场2号航站楼到达24行李转盘在哪进去最近停车场在哪		设施类	实体查询	停车场					
请问下关于昆明长水机场行李寄存的资费问题	1	行李	实体属性问询	行李寄存		资费			
昆明长水T2航站楼哪里有手机充电的地方	1	设施类	实体属性问询		手机充电的地方	哪里			
国内航班可以在机场租移动WiFi吗？	1	设施类	有实体但cqa	WiFi					
昆明长水机场T3航站楼有快递公司网点吗？	1	设施类	实体查询	快递			T3航站楼		
坐飞机有老人陪伴服务吗？	1	设施类	实体查询		老人陪伴服务				
商务座可以进贵宾候车厅吗		贵宾服务	有实体但cqa	贵宾候车厅					
有谁知道昆明长水机场晚上00:00过后下的飞机可以睡贵宾室吗？是不要给60块钱		贵宾服务	有实体但cqa	贵宾候车厅					
昆明长水机场有顺丰快递站吗 能不能签收？	1	设施类	实体查询	顺丰快递站					
昆明长水T3航站楼有轮椅服务吗？	1	设施类	实体查询	轮椅			T3航站楼		
昆明长水机场vip休息室	1	贵宾服务	实体查询		vip休息室				
昆明长水机场寄存价格	1	行李	实体属性问询	寄存		价格			
昆明长水机场过了安检有没有饮水处	1	设施类	实体查询		饮水处				
昆明长水机场t2航站楼有更衣室吗？在什么位置？	1	设施类	复杂	更衣室		位置			
昆明长水机场可以寄存行李吗？	1	行李	实体查询		寄存行李				
昆明长水机场寄存行李可以多久？	1	行李	实体属性问询		寄存行李	多久			
昆明长水机场寄存行李怎么收费？	1	行李	实体属性问询		寄存行李	收费			
昆明长水机场有随身WiFi租吗？要多少钱？	1	设施类	复杂	WiFi		要多少钱			
机场母婴休息室管理规定	1	设施类	实体属性问询	母婴休息室		管理规定			
昆明长水t2机场警务室在哪	1	设施类	实体属性问询	警务室			t2		
请问昆明长水机场t1到t2的摆渡车在哪	1	设施类	实体属性问询	摆渡车					
昆明长水机场有无线网吗？	1	设施类	实体查询	无线网					
昆明长水机场有更衣室吗	1	设施类	实体查询	更衣室					
昆明长水机场T3航站楼在哪寄存行李	1	行李	实体属性问询		寄存行李		T3		
昆明长水机场T3航站楼寄存行李怎么收费	1	行李	实体属性问询		寄存行李	收费	T3		
昆明长水国际机场一号航站楼的出发层是哪一层？	1	设施类	实体属性问询	出发层					
昆明长水国际机场的吸烟区在那	1	设施类	实体属性问询	吸烟区					
昆明长水机场有没有免税店	1	购物类	实体查询	免税店					
昆明长水机场停车场 收费标准？	1	设施类	实体属性问询	停车场		收费标准			
昆明长水机场wifi 验证码怎么获得？怎么还要人服务人员要？		设施类	有实体但cqa	wifi					
昆明长水机场有没有哺（乳）婴室	1	设施类	实体查询		哺（乳）婴室				
这个昆明长水机场连接的wifi是免费的吗？为什么要链接微信才能上网		设施类	实体属性问询	wifi		免费			
昆明长水机场的服务电话	1	设施类	实体属性问询	昆明长水机场		服务电话			
昆明长水机场免税店几点关门?T3航站楼	1	购物类	实体属性问询	免税店		几点关门	T3		
昆明长水机场有二十四小时营业的店么	1	购物类	实体属性问询	店		二十四小时			
昆明长水机场的客服热线	1	设施类	实体属性问询	昆明长水机场		客服热线			
昆明长水机场里面有卖手机卡的吗	1	购物类	实体查询		卖手机卡				
有没有哪些比较方便免费的充电地方	1	设施类	实体查询		充电地方		免费		
昆明长水机场有什么好吃的?	1	餐饮类	实体查询		好吃的				
昆明长水机场wifi最多可以租多少天	1	设施类	实体属性问询	wifi		租多少天			
昆明长水机场wifi登录网页	1	设施类	有实体但cqa	wifi					
昆明长水机场T3航站楼的候机大厅有电源插座吗？	1	设施类	实体查询	电源插座					1
昆明长水机场有什么快递网点？	1	设施类	实体查询	快递					
昆明长水机场内那里有免费开水	1	设施类	实体查询	开水			免费		
交通银行机场贵宾服务是什么？	1	贵宾服务	实体查询	贵宾服务					
昆明长水机场的服务电话是多少？	1	设施类	实体属性问询	昆明长水机场		服务电话			
昆明长水机场手机充电区在哪?	1	设施类	实体属性问询	手机充电区					
昆明长水机场国一秒物流公司靠谱吗？		其他	其他						
国际航班的商务舱有休息室吗？	1	设施类	实体查询	休息室					
昆明长水机场有什么餐厅比较经济实惠吗?	1	餐饮类	实体查询	餐厅			经济实惠		
昆明长水机场有免费WIFI吗	1	设施类	实体查询	WIFI			免费		
昆明长水机场贵宾室是怎样的？	1	贵宾服务	实体查询	贵宾室					
昆明长水机场候机厅有抽烟室吗？	1	设施类	实体查询	抽烟室					
昆明长水机场的顺丰快递内怎么去？	1	设施类	实体属性问询	顺丰快递					
