target	raw_chars
3	国际航班每人可以免费托运几件行李
0	昆明长水机场T2航站楼到昆明长水国际机场怎么走?
3	昆明长水机场电话是多少
3	昆明长水机场寄存行李怎么收费？
5	昆明长水机场到邮政大厦怎么走
3	昆明长水国际机场国航值机柜台在哪？
5	印尼护照可以在昆明长水机场落地签证
4	昆明长水国际机场有没有导盲语音？
3	昆明长水机场t1航站楼计时休息室多少钱一小时
4	昆明长水机场里面有招商银行吗?
4	昆明长水机场有VIP通道吗?
4	附近哪有喝咖啡的地方
4	机场哪儿可以换泰铢
5	什么时间段可以人工值机
3	机场上网一天多少钱？
5	印尼护照可以在昆明长水机场落地签证
5	昆明长水机场需要检查签证吗？（出境）
5	昆明长水机场免税店和昆明长水机场免税店哪个好
4	昆明长水机场2号航站楼到达24行李转盘在哪进去最近停车场在哪
5	怎么起飞前多长时间停止登机
4	昆明长水机场有手机充电吗？
5	昆明长水机场t3航站楼内的贵宾厅有专门安检通道么
0	昆明长水机场附近有什么旅游的地方
3	昆明长水机场急救中心可以体检吗周末
5	昆明长水机场的联通电话卡是现买现用吗？
5	昆明长水机场入境的时候先取行李还是先取寄存的东西？
5	昆明长水机场和昆明长水机场有什么区别？
0	请问昆明长水机场到长途汽车站多少钱
5	兑换欧元170元需要那些手续
4	机场轮椅服务
4	机场边上有客运中心吗？
0	凌晨1点多才能到昆明长水机场 如果要去市区 如何坐车？
4	昆明长水机场有为手电脑充电的地方吗?
4	昆明长水机场有没有手机充电的地方？
4	昆明长水机场T2里面有酒店吗？
0	，可以上二楼出发层吗？
5	机场的免费wifi怎么使用？
3	机场手推车的归还地点
5	请问在昆明长水机场哪个宾馆最便宜？
0	昆明长水国际机场国际到达在哪里接机
3	机场母婴休息室管理规定
3	昆明长水机场在哪个街道上几号
5	进入离境大厅的一些设施是否需要安检
1	长沙国际机场T1航站楼和T2 都飞什么航空公司啊
5	请问要昆明长水机场投诉有没有用？
1	昆明长水机场坐飞机哪些东西能带？
2	昆明长水地铁三号线机场北站有洗手间和母婴室吗
3	昆明长水机场办临时身份证是24小时的吗
4	昆明长水机场T3航站楼的候机大厅有电源插座吗？
5	昆明长水机场有老人无人陪护送上飞机吗？
5	我身份证丢了，在昆明长水机场现在去能办临时登机身份证吗？
4	昆明长水机场的外币兑换点有无人民币换日币业务？
3	中国农业银行的位置
3	昆明长水机场麦当劳在什么位置
3	昆明长水机场t3航站楼临时身份证办理哪里
5	昆明长水机场里面的外币兑换点是什么外币都能换回人民币吗？
3	昆明长水机场的服务电话
3	机场贵宾厅服务专享厅的服务电话？
5	昆明长水特区五日签证可从昆明长水机场出关吗?
5	满足什么条件才能使用机场VIP通道
5	昆明长水国际机场日上买的东西回来时可以不取吗?
4	哪里可以接机呢
0	去昆明长水机场接人怎样开在进去
5	昆明长水机场租车方便吗？
0	昆明长水机场急救中心有没有眼科
3	出租车的搭乘地点
4	昆明长水机场有什么快递网点？
5	机场摆渡车是什么?
3	昆明长水机场 国航贵宾休息室在哪里怎么才能进去？
0	昆明长水国际机场到昆明长水客运中心怎么走
5	昆明长水机场T1的海南航空贵宾休息室 是只有海航vip可以进 还是头等舱机票就能进？？
4	昆明长水机场有高铁吗
5	昆明长水机场可以兑换泰铢吗？
3	物品托运的最大重量
5	昆明长水机场wifi登录网页
3	卫生间的地点分布
4	昆明长水机场提供冬衣免费寄存服务吗？
4	因为要提前一个晚上去机场，想问问昆明长水机场晚上有充电的地方吗？
4	机场附近哪里可以买sim卡
4	在昆明长水机场日元能兑换人民币吗
0	昆明长水火车站附近租车公司
4	机场有吸烟区吗？
3	昆明长水新昆明长水机场占地面积是多少
3	昆明长水机场的VIP贵宾通道在哪里？
0	昆明长水机场T2最近的机场派出所打车需要多久
0	昆明长水机场t1附近练车场，想报驾校考驾驶证，找一个比较近的练车场
5	昆明长水机场美元换泰铢可以吗？
5	办理签证需要准备的资料
3	昆明长水机场有二十四小时营业的店么
3	昆明长水机场的问询电话
5	如何在昆明长水机场接人
0	飞机延误的补偿手段
3	充电宝的携带限制是多少
4	沈阳桃仙机场可以寄存衣物吗？
4	昆明长水机场免税店
4	想换些日元，机场里有地方可以换吗
3	星巴克的服务时间
5	昆明长水机场贵宾休息室可以打印机票吗?
4	飞机场候机大厅有提款机吗
4	太平国际机场有WIFI吗
5	昆明长水机场候机室是否能过夜？
4	昆明长水机场vip休息室
5	昆明长水机场免税店有那有哪些规则？
0	长水机场邮政物流招人吗
4	13岁的孩子可以独自乘飞机吗
0	C1驾驶证在实习期内，可以上昆明长水机场快速路吗?
0	禄口机场里有自动取款机吗?
0	杭州哪些飞机盒公司能提供精致飞机盒？
3	昆明长水机场服务热线
0	机场要客服务待遇如何
5	从昆明长水机场寄东西到新都区用什么快递最快
4	有老人独自出境机场工作人员可提供帮助吗?
5	麦当劳 昆明长水机场店怎么样
1	乘机回国哪些东西不能带
0	寄到昆明长水的航空快件在航站楼就能取还是要去后面的物流中心？
4	机场托运包问题。
4	昆明长水机场有没有交通银行？
5	昆明长水机场租车都该注意些什么
5	搭乘飞机时，提前多久到达机场比较好
4	昆明长水机场附近的有什么好吃的地方？
1	昆明长水国际机场出发大厅或国内到达大厅附近有哪些可签收领取异地行李的快递公司网点？
3	谁知道昆明长水机场2航站楼自助取票机具体在哪个位置？
4	坐飞机有老人陪伴服务吗？
3	昆明长水机场晚上可以办临时身份证么
1	什么快递可以寄到机场
4	昆明长水机场有什么好吃的?
3	求昆明长水机场 Wifi 密码多少
4	昆明长水机场最近的宾馆
5	机场充电柱直接连接使用吗？
3	昆明长水国际机场在哪里具体位置？
4	机场可以换外币吗?
4	昆明长水机场能够存放东西吗?
0	从昆明长水国际机场到南山医院怎么走
5	昆明长水机场进入头等舱休息室需要什么凭证
3	请问昆明长水机场t1到t2的摆渡车在哪
5	昆明长水机场航安路上的建设银行哪去了
3	失物招领处的位置
5	昆明长水机场怎么登机？
1	请问在昆明长水机场有多少间宾馆？
3	请问昆明长水机场的航站楼机场派出所的电话是多少。
0	昆明长水国际机场到黄土坡怎么走
0	关于昆明长水国际机场周边停车场、旅游、跑腿等业务推广问题
1	有几个机场候机楼
5	昆明长水机场办理临时身份证需要什么条件
5	机场免税店和市内免税店的区别？
5	昆明长水机场可以办临时身份证吗？
0	机场T3a与T3b相距多远？
5	昆明长水机场的wifi怎样加入
4	机场有行李寄存处吗
4	昆明长水机场候机大厅哪里能给笔记本电脑充电
5	有户籍证明可以不用办理临时乘机证明直接办理登机牌吗？
4	转机时，可以携带液态物品吗
5	可以在昆明长水机场货币兑换吗？怎么样？
3	昆明长水机场免税店几点关门?T3航站楼
0	马来西亚 吉隆坡国际机场 退税在什么区
3	昆明长水国际机场的肯德基是24小时营业的吗？
0	从昆明长水机场去湖州织里童装批发城，请问既方便又经济的路线？
5	怎样在机场租WiFi
3	昆明长水机场的邮编是多少
3	请问在机场租随身Wi-Fi是多少钱一天？
0	圆通昆明长水机场快递到昆明长水要多久
0	昆明长水机场打包员工资怎样
3	机场的免税店的经营范围是什么
4	请问昆明长水机场有邮寄包裹的地方吗？
0	从昆明长水机场去湖州织里童装批发城，请问有什么注意事项？
4	听说最近奥迪在昆明长水机场有专属停车区，是真的吗？
4	昆明长水机场有充电的地方么？
5	机场贵宾休息室可以接机吗？
3	昆明长水机场联通贵宾休息室的具体位置在哪里？
3	机场的神州租车店在哪
3	机场的值机柜台分布
3	机场的急救医疗服务的位置
5	昆明长水机场机场如何兑换外币？
0	如何预约选座
5	在机场兑换外币
5	昆明长水机场计时休息室是都可以住吗？
3	机场的电梯的位置在哪
3	想知道: 昆明长水机场北出口中通快递 在哪
5	昆明长水机场的无线网络怎么用？
4	昆明长水机场T2航站楼有给笔记本充电的地方吗？
5	昆明长水机场托运是否可提供包装箱
5	机场的服务内容
5	如何办理自助值机
5	昆明长水国际机场到英国签证申请中心怎么走
5	长水机场有直接签证去缅甸的吗?
4	昆明长水机场有没有深航vip休息室 ？
0	昆明长水南至昆明长水机场多少公里
3	昆明长水机场充电的地方在哪
3	银行货币兑换的可用时间范围
2	昆明长水机场T1航站楼B区到达14号行李转盘在几号门
4	昆明长水机场有免税店吗
5	如何办理微信值机
4	到昆明长水机场有直达地铁么？
4	昆明长水机场里面有没有农商银行或农行柜员机机
0	长沙国际机场东航贵宾休息室营业时间是几点到几点？
5	昆明长水机场wifi 验证码怎么获得？怎么还要人服务人员要？
5	如何在昆明长水机场转机
5	出/入境有哪些需要注意的
3	昆明长水机场的具体地理位置是什么？
4	昆明长水机场内有快递么。
4	昆明长水机场里面有宾馆吗？
4	昆明长水机场到昆明长水国际机场有没有免费摆渡车
3	机场的航班信息展板的位置
3	昆明长水机场寄存价格
0	昆明长水机场t1航站楼走错了怎么办
0	从昆明长水机场到长沙国际会议中心怎么走
4	哪个机场有吸烟室？
5	昆明长水机场T1的海南航空贵宾休息室 是只有海航vip可以进 还是头等舱机票就能进？？
5	外国人昆明长水机场wifi怎么办
4	昆明长水机场到港大厅有没有更衣室？
0	地铁怎么去昆明长水机场
4	昆明长水机场那里可以办理退税业务吗？
5	可以把行李托运到昆明长水国际机场侯机楼邮政所然后自取吗
4	咨询机场机票团购服务，谢谢
5	昆明长水机场快递地址怎么写？
4	昆明长水国际机场有免税店吗?
1	昆明长水机场2号航站楼国内出发的所有餐厅，吃午饭~
4	民生银行在昆明长水机场有贵宾厅吗?
4	昆明长水机场t2里面有吸烟的地方吗
1	昆明长水机场第一航站楼有哪些航空公司
4	昆明长水机场有寄存行李的地方吗？
4	机场有设置军人优先通道吗？
5	托运行李损坏或者丢失了怎么赔偿
4	机场有没有24小时营业的咖啡厅或者快餐店
5	行李的包装有没有要求
3	机场的酒店都提供什么服务呢
5	请问昆明长水机场怎么叫的士
0	滴滴专车、神州租车等平台可以在昆明长水机场预约较高品质的停机坪接机服务吗？
3	机场售票处的位置
4	昆明长水机场3号航站楼可不可以兑换外币？
0	昆明长水机场凌晨2点还有车去市区吗
4	机场开具机票发票的地点
5	昆明长水机场一号航站楼的麦当劳可以过夜吗？
4	听说昆明长水机场有wifi租赁柜台啦，是不是真的？
1	行李中哪些液体不可以带
3	请问昆明长水机场 行李寄存的费用是多少，怎么计算的？我的是158的行李箱~~
5	昆明长水机场3号航站楼兑换外币和银行的汇率一样吗？
4	昆明长水机场有联通电话卡卖吗？
4	昆明长水机场内有快递吗
4	昆明长水机场A航站楼有坐摆渡车上飞机的登机口吗？
0	航班延误12小时到达目的地后旅客感觉身体不适要求航空公司送医院检查，现在我还能维权吗？
4	顺丰合肥驻昆明长水集散中心是在昆明长水机场吗
0	请问杭州东站至杭州昆明长水国际机场乘坐出租车有多少公里？
0	昆明长水机场托运行李内物品丢失的多吗？都怎么处理的啊？
5	在昆明长水站托运行李 需要自己把行李包装好吗？
3	昆明长水机场报警电话是多少？
3	昆明长水机场客服电话是多少
5	请问一下，如果在国际机场要打包行李，拉杆行李箱可以打包吗
3	昆明长水机场里面宾馆贵吗？
5	晚上11点到昆明长水机场，还有没有机场大巴呢？
5	昆明长水机场T2可以到出发地方接机吗
3	国际航空意外险是怎么赔付的
0	境外人员办理驾照-境外人员临时住宿登记表/境外人员住宿登记信息 请问此二项区别?
0	昆明长水机场国一秒物流公司靠谱吗？
4	机场附近租房问题
4	昆明长水机场T3航站楼有快递公司网点吗？
0	昆明长水机场招聘
4	昆明长水机场wifi租赁柜台已经开始营业了么？
3	快递的联系电话是什么
4	昆明长水机场接人在哪停车？
0	为什么飞机场洗手间所有人都在洗手间外面等候？
0	昆明长水机场和昆明长水机场比起来哪个大
5	国际机票轮椅服务是如何操作的
3	请问机场客服是多少?
3	昆明长水机场药店几点开门
5	昆明长水机场丢东西可以看监控吗
4	谁知道昆明长水机场2航站楼有没有自助取票机？
0	在飞机上能否换衣服
0	昆明长水机场贵宾接待工资是多少
5	昆明长水机场银联贵宾停车场怎么弄的?
3	附近最近的吃饭的地方在哪
5	西安银行卡在中国银行自动取款机上取款收费吗
5	出国旅游怎样携带外汇最合算
3	昆明长水机场国际航班在哪个航站楼？
0	昆明长水国际机场到火车站怎么走
3	昆明长水机场寄存行李可以多久？
5	请问昆明长水国际机场头等舱休息室的东西要钱吗？
3	昆明长水国际机场电话是什么
0	昆明长水机场过夜，我航班需要在昆明长水机场中转，而且有行李需要托运，不想出机场，请问怎么处理？
3	怎么查昆明长水机场举报电话
5	昆明长水机场贵宾室可以优先登机吗?
4	有谁知道昆明长水机场是否有短期的行李寄存处
5	昆明长水机场能用人民币换卢布吗？
4	机场充电宝、手机可以带身上吗
4	昆明长水机场晚上可以过夜吗？
3	昆明长水机场计时休息室收费是多少
0	在昆明长水机场不小心拿错了行李，航班是CZ3438，到家后才发现拿错怎么办？
4	昆明长水机场有没有买手机卡的地方
3	请问昆明长水机场换外币上班时间几点到几点
5	昆明长水机场t2航站楼可以提前6小时进去侯机吗？
2	昆明长水机场一号航站楼的麦当劳在哪里，是24小时的吗？
3	昆明长水飞机场T3航站楼里面肯德基或麦当劳在哪
1	昆明长水机场有几个接机口
3	昆明长水机场t3航站楼附近邮政提款机在哪？
4	昆明长水什么银行可以拿外币换人民币？
4	请问昆明长水机场T3航站楼内有中国银行的自助存款机吗？ 谢谢
3	昆明长水机场的紧急联系电话是什么
5	国内退税是退欧元还是人民币啊？
4	昆明长水机场安检内有没有公用电话?
4	能否在昆明长水国际机场买到手机卡？
0	昆明长水国际机场股份有限公司航空物流服务分公司怎么样？
0	昆明长水机场至航天博物馆站最短时间怎么走
0	昆明长水国际机场到中国人民银行（昆明长水分行）怎么走
3	凌晨1点左右,从昆明长水机场到市区还有大巴车么?
3	怎么查昆明长水机场举报电话
2	在昆明长水机场能办理临时乘机证明吗？办理窗口是在什么地方。
0	昆明长水机场T2最近的机场派出所走路需要多久
2	在昆明长水机场能办理临时乘机证明吗？办理窗口是在什么地方。
5	请问昆明长水机场头等舱能否携带一名经济舱同伴到贵宾室休息？
0	昆明长水国际机场跟昆明长水国际机场哪一个比较大
3	昆明长水t2机场警务室在哪
3	昆明长水机场招商银行或招行ATM机的地址
4	谁知道昆明长水机场有没有全聚德烤鸭店？
0	孕妇昨天在双流机场x光安检，对孩子有没有什么影响
4	昆明长水机场附近有没有wifi租赁的地方
4	昆明长水机场有临时保管行李的吗？
5	拿外国护照直飞昆明长水机场可办理中国签证吗
5	换外币在机场换会就要少点？
4	机场能否换日元
5	关于国际机场WiFi租赁的问题
3	机场硬纸箱打包行李的服务多少钱
5	个人签证的如何从昆明长水机场过关到香港。
5	我买的过两天川航的A仓机票，昆明长水机场的，可以去贵宾室么
5	昆明长水机场的免费无线网络怎么用？
0	关于北京首都机场内驾照的问题
1	哪些物品不让带上飞机
4	昆明长水什么银行可以拿马币换人民币么？
5	昆明长水机场vip贵宾室接待工作怎么样
0	大渡口到昆明长水国际机场怎么走
4	昆明长水国际机场的国际及地区客运航点
0	昆明长水国际机场到晓东村怎么走
3	在昆明长水新昆明长水机场的外币兑换处手续费多少
0	哪位在昆明长水机场换过欧元
5	昆明长水机场3号航站楼可不可以兑换卢布？
1	昆明长水国际机场哪里有什么吃饭的地方吗？
3	机场售票电话号码
5	昆明长水t1航站楼到达口和出发口离得远吗
3	请问下关于昆明长水机场行李寄存的资费问题
3	机场航空快递凌晨2点可以取件吗
3	航空意外险可以补买吗？如何补买？
5	转机需要重新安检吗
3	昆明长水机场在哪个区？
5	昆明长水机场T3航站楼如何从贵宾室登机
3	在中国机场换日元手续费多少钱？
4	昆明长水机场A航站楼有坐摆渡车上飞机的登机口吗？
4	昆明长水国际机场
5	机场行李怎样寄存？
4	昆明长水机场有没有哺（乳）婴室
0	到香港国际机场的租车公司
5	昆明长水机场有联通机场贵宾厅候机服务，只要是联通VIP客户就能享有呢？
3	昆明长水机场免税店几点关门?T3航站楼
0	昆明长水机场t1和t2航站楼怎样区分
5	到昆明长水机场T3航站楼怎样登上飞机？
3	谁知道昆明长水机场警务室电话号码多少
5	国航的银卡能进贵宾厅休息吗
4	最近要去日本，听朋友说在昆明长水机场可以租赁日本wifi和手机，有没有用过的？
5	值机什么时候开放
4	昆明长水机场T3航站楼内有工商银行的存款机吗？营业点也行
3	昆明长水机场哪里可以上车乘坐机场巴士
3	市 昆明长水机场附近哪有顺丰
4	昆明长水国际机场是否有招商银行提款机
4	在昆明长水机场丢物品后如何找?
4	我在昆明长水机场拿错了别人的箱子怎么找回自己的
5	老人乘飞机申请陪护如何办理
3	机场上网的密码是多少
3	昆明长水顺丰昆明长水国际机场中电话
4	成都双流机场上的出租车丢了东西怎么办
3	昆明长水机场集团公司的公司简介
4	昆明长水机场送机候机厅外（在过安检之前的区域）有餐厅或咖啡厅吗？
4	昆明长水机场有Wi-Fi吗
5	昆明长水机场出口转到福保仓能退税吗
5	在昆明长水机场办理临时乘机证明可不可以提前几天先去办理
1	昆明长水机场免税店有什么品牌
4	昆明长水国际机场二号航站楼里面有什么吃的饭店?
5	柬埔寨落地签，从昆明长水机场目前可以出境不？
5	商务座可以进贵宾候车厅吗
5	中国银行兑换外币需要提前多久预约
1	银行货币兑换的种类是哪些
4	昆明长水机场候机厅有抽烟室吗？
4	昆明长水机场里面有交通银行吗？
5	机场母婴室有监控吗
4	昆明长水机场里面有卖手机卡的吗
3	昆明长水机场有官方微博吗？
4	昆明长水国际机场t2号航站楼可以停车吗？
4	机场丢了东西能找回吗
3	谁知道昆明长水机场公安局或派出所在什么地方?
0	全家便利店 昆明长水机场三店怎么样
0	明天早上六点多打车去昆明长水机场大概多长时间能到？
4	昆明长水机场免税店有什么香烟？
5	在中国机场能换到日元吗？
3	昆明长水机场内摆渡车收费标准
3	昆明长水机场客服电话是多少？
1	昆明长水机场有些啥免税店~~
1	请问昆明长水飞机场接机有多少个出口？
3	机场贵宾厅服务专享厅开放时间？
3	昆明长水机场警务室电话号码多少？
5	如何找到昆明长水机场t3航站楼轮椅服务部
4	机场有轮椅吗
5	工行在国际机场有什么服务？
2	昆明长水机场t2航站楼有更衣室吗？在什么位置？
5	重庆建行机场贵宾厅持家人的卡可以进去吗？
3	物品申报收费吗
0	六福珠宝（王府井百货店）到昆明长水机场怎么走
0	日币汇率昆明长水机场划算还是日本羽田机场划算
0	北京机场行李搬运
4	昆明长水机场的游伴伴wifi租赁柜台有没有开始营业？
0	初次坐飞机，有哪些需要注意的？
5	在国际机场买免税的东西还需要退税么
2	将行李从火车站台搬到站外昆明长水机场的大巴车上？费用多少呢？
1	昆明长水机场有哪些安检规定
0	宝安机场可以骑电动自行车嘛
5	国内航班可以在机场租移动WiFi吗？
4	在昆明长水机场怎么抽烟
4	昆明长水机场t2有吸烟室吗?
5	在昆明长水国际机场转机需要申请转机签证么
3	昆明长水机场的麦当劳具体在哪个位置？？
3	昆明长水国际机场t3航站楼前贵宾停车场如何收费
0	什么时候开始全国81个机场将开通“军人依法优先”通道？
5	昆明长水机场的免税店买了东西之后能否直接带走??
3	昆明长水机场T2 航站楼在哪里做摆渡车到T3航站楼？
0	下水径到昆明长水国际机场怎么走
5	昆明长水国际机场，昆明长水国际机场哪个好
3	昆明长水机场的客服热线
5	昆明长水机场去哪个贵宾厅好
3	昆明长水机场附近有个给利竟餐厅求高人告诉店内电话。
3	航空意外险的价格是多少
4	昆明长水国际机场t2号航站楼停车停在那里呢
3	昆明长水长水国际机场占地多少亩
1	昆明长水国际机场的附近餐馆
4	昆明长水机场 有免费开水吗
4	昆明长水机场内有肯德基或麦当劳吗？
0	昆明长水国际机场坐计程车到公明镇要多少钱?
5	昆明长水国际机场小孩没有大人陪伴在哪里接机？
4	在机场丢了物品去哪里认领
5	晚上十一点半，从昆明长水国际机场到机场急救中心怎么能走？
5	机场有硬纸箱打包行李的服务怎么找
5	听说worldwide的退税单可以回昆明长水机场退，那是退回人民币还是欧元呢？
4	昆明长水t2机场在哪里可以手机充电
4	物品申报的地点在哪
4	国际航班的商务舱有休息室吗？
4	昆明长水机场2号航站楼哪里可以吃饭(比如快餐)
5	昆明长水机场T3航站楼，确定可以过夜吗？
0	如何办理退票、改签
5	工行在昆明长水机场有什么服务？
0	成都地铁2线哪站有厕所
4	机场有没有随身wifi租赁
5	什么时间段可以自助值机
3	方汇货币的营业时间
0	从昆明长水机场去昆明长水宾馆怎么走?
4	昆明长水机场有免费WIFI吗
5	转机时是否可以离开机场
1	T1候机楼的值机柜台分布
4	关于昆明长水机场托运行李的问题
5	昆明长水机场专属停车区要如何预约？
2	昆明长水共有几个机场贵宾厅，分别在何位置？
3	国际机场换汇处的营业时间，周末正常运营还是休息
4	昆明长水机场怎么停车
4	请问昆明长水国际机场有公用电话吗？
3	请问哪位亲知道昆明长水机场里面的中国银行兑换外币有没有手续费？
4	在昆明长水机场可以免费上网吗？
5	在国外买的东西退税了，入境的时候会查护照上的单子么 谢谢
3	行李的托运标准是什么
4	投诉昆明长水机场
4	昆明长水机场中咖啡厅不可坐吗
5	到昆明长水机场，318路公交车终点站下车后，坐机场员工摆渡车可以到T2候机楼么？
5	民生银行信用卡机场贵宾厅怎么预约
2	昆明长水t1航站楼到达口和出发口离得远吗
4	附近最近的吃饭的地方在哪
0	机场兑换外币：上海浦东机场可以兑换外币吗
1	昆明长水机场免税店有卖哪些东西？
0	昆明长水国际机场到昆明长水市儿童医院的哪条路的分院更近
4	昆明长水机场有没有机场快递～～～！！
4	昆明长水国际机场是否有储物柜
3	昆明长水机场有哪些部门
5	柬埔寨落地签，从昆明长水机场目前可以出境不？
3	昆明长水机场联通贵宾B厅的开放时间是什么时候？
4	昆明长水机场有没有农业银行？
5	机场的临时身份证明开具方法
3	机场买的那个航空意外保险保不保劫机？
0	怎么从昆明长水国际机场去北部新区财富中心A栋西部航空公寓1楼会议室
5	拿外国护照直飞昆明长水机场可办理中国签证吗
0	昆明长水机场到汉庭酒店怎么走？
3	昆明长水国际机场面积?
3	昆明长水机场投诉热线是多少？
4	东西丢在了昆明长水机场巴士武林门线车上 怎么找回？
5	去昆明长水机场“t3航站楼”登机把汽车停在几号停车场比较近？
3	夜里航班，换卢布在机场有营业的兑换柜台吗？
4	昆明长水机场有没有免税店
4	机场可以兑换欧元吗
5	昆明长水机场没带身份证能不能领登机牌啊
3	沈阳桃仙机场寄存衣物怎么收费？
3	昆明长水机场安检的投诉电话
1	昆明长水太平国际机场哪些银行卡有贵宾候机室
4	机场航站楼内有存取款一体机吗
0	在昆明长水机场去国家会展中心怎么走
4	昆明长水飞机场T3航站楼里面有肯德基或麦当劳吗
0	要换多少日元，是在银行换划算还是去机场换
5	去昆明长水机场停车有什么攻略？
4	在昆明长水国际机场的飞机上有wifi吗？
1	机场有几个快递点
3	昆明长水机场联通贵宾休息室开放时间是什么时候？
4	昆明长水机场有花旗银行的ATM机吗
3	昆明长水机场wifi最多可以租多少天
4	昆明长水T3航站楼有轮椅服务吗？
4	昆明长水飞机场这付近有没有交通银行
4	昆明长水机场过了安检有没有饮水处
4	在机场有没有什么地方可以给手机充电？
4	机场能够办临时身份证吗？
4	有没有哪些比较方便免费的充电地方
4	昆明长水机场航站楼
5	个人签证的如何从昆明长水机场过关到香港。
4	昆明长水机场出发大厅有没有饮水处
3	昆明长水机场官网
5	简述长水国际机场位置的优缺点
4	昆明长水机场内有没有柜台银行？？？
4	昆明长水机场可以存放行李吗？
3	昆明长水机场有多大
3	昆明长水机场电池规定容量是多大
4	昆明长水机场贵宾室是怎样的？
5	在机场日上买了东西可以寄存从外面回来了再拿吗？
0	昆明长水国际机场航站楼到南山风景区怎么走
4	昆明长水机场哪里取航空快递？
4	昆明长水机场候机楼，有工商银行柜员机吗？拜托了各位 谢谢
0	昆明长水国际机场到昆明长水火车站怎么走？
4	昆明长水机场附近有没有中国农业银行
4	昆明长水机场内有航站楼直接的交通服务吗
0	昆明长水机场到海悦酒店怎么走
5	昆明长水机场wifi没登录
3	昆明长水机场的电瓶车是在2层还是3层？
0	昆明长水国际机场到富滇银行东郊路支行怎么走
3	昆明长水国际机场里面快递具体位置在哪里
5	昆明长水机场T3捷运如果坐过站怎么办？
4	有人知道昆明长水机场里有顺丰快递的网点吗
5	机场提供吸氧吗？
4	昆明长水T3航站楼里面有没有工商银行自助取款机？
4	昆明长水机场免税店有没有手机卖？
4	昆明长水机场先在还有YSL和阿玛尼吗？
1	昆明长水机场附近中国银行有哪些
5	去昆明长水机场可以把面额为1000元的泰铢全换成20的嘛？
0	请问昆明长水机场到长途汽车站有多远
4	昆明长水机场可以办理临时身份证吗
5	昆明长水机场几号门可以连wifi
3	哪位大神知道昆明长水t2航站楼的警务室在哪？
0	请问昆明长水国际机场和昆明长水新昆明长水机场是一个吗
0	昆明长水北站打的到昆明长水机场大概要多长时间的
5	昆明长水机场T1的海南航空休息室 是只有海航vip可以进 还是头等舱机票就能进？？
3	昆明长水机场停车场 收费标准？
4	昆明长水机场候机厅有热水供应吗？
3	昆明长水机场有没有全聚德烤鸭店订餐电话？
